RU;20;116;TransparentCalls;0.75;141;61;38
US;94;1033;E-Voice;0.78;770;10;51
GB;77;908;TransparentCalls;0.67;517;63;32
FR;15;562;TransparentCalls;0.96;608;34;44
BL;5;1110;E-Voice;0.67;248;4;46
AT;73;121;TransparentCalls;0.63;599;43;32
BG;29;893;E-Voice;0.94;659;15;44
DK;12;844;JustPhone;0.97;839;19;52
CA;51;1138;JustPhone;0.62;899;36;18
ES;25;1406;E-Voice;0.86;945;60;11
CH;59;1361;JustPhone;0.61;267;86;24
TR;36;326;TransparentCalls;0.98;422;28;29
PE;87;766;JustPhone;0.62;42;90;38
NZ;38;507;JustPhone;0.74;970;74;19
MC;47;1062;E-Voice;0.81;224;69;10
